# Matter power spectrum P(k) at redshift z=0.7
# for k=1.045e-05 to 5.35572 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       2.550129381154e+01 
       2.333095830364e-05       5.521820946946e+01 
       3.625717138197e-05       8.438033711074e+01 
       4.926346170446e-05       1.133153645670e+02 
       6.238518340033e-05       1.422077359777e+02 
       7.565858108432e-05       1.711944498199e+02 
       8.912111517766e-05       2.003918709932e+02 
       1.028118016360e-04       2.299066707434e+02 
       1.167715704439e-04       2.598414089992e+02 
       1.310436472695e-04       2.902978966964e+02 
       1.456739626796e-04       3.213795098626e+02 
       1.607115932535e-04       3.531929754810e+02 
       1.762092387588e-04       3.858498860947e+02 
       1.922237391794e-04       4.194680696635e+02 
       2.088166347274e-04       4.541729021371e+02 
       2.260547708937e-04       4.900985908391e+02 
       2.440109489228e-04       5.273894667227e+02 
       2.627646196243e-04       5.662012743675e+02 
       2.824026148746e-04       6.067024714109e+02 
       3.030199061975e-04       6.490754950756e+02 
       3.247203730558e-04       6.935179731202e+02 
       3.476175545344e-04       7.402438095491e+02 
       3.718353465747e-04       7.894840635150e+02 
       3.975085925723e-04       8.414875091272e+02 
       4.247834979996e-04       8.965207272781e+02 
       4.538177802962e-04       9.548675490193e+02 
       4.847804449377e-04       1.016827636404e+03 
       5.178510599038e-04       1.082713946671e+03 
       5.532183878397e-04       1.152848848264e+03 
       5.910782339040e-04       1.227558619059e+03 
       6.316303850249e-04       1.307166186189e+03 
       6.750745609842e-04       1.391982015812e+03 
       7.216053758472e-04       1.482293285113e+03 
       7.714064215132e-04       1.578351696151e+03 
       8.246437268604e-04       1.680360585974e+03 
       8.814589978991e-04       1.788462212139e+03 
       9.419631766203e-04       1.902726386312e+03 
       1.006230932013e-03       2.023141657983e+03 
       1.074296682416e-03       2.149610095501e+03 
       1.146152626855e-03       2.281946504927e+03 
       1.221749044348e-03       2.419882316496e+03 
       1.300996843579e-03       2.563073956091e+03 
       1.383772069420e-03       2.711107782977e+03 
       1.469921856686e-03       2.863521691477e+03 
       1.559271205765e-03       3.019840256089e+03 
       1.651629950109e-03       3.179558245919e+03 
       1.746799373907e-03       3.342167429826e+03 
       1.844578083652e-03       3.507168728172e+03 
       1.944766900246e-03       3.674081755770e+03 
       2.047172686846e-03       3.842451698184e+03 
       2.151611143041e-03       4.011854023586e+03 
       2.257908672078e-03       4.181897101988e+03 
       2.365903467808e-03       4.352223341655e+03 
       2.475445979787e-03       4.522509005932e+03 
       2.586398907712e-03       4.692463300139e+03 
       2.698636858273e-03       4.861826822115e+03 
       2.812045774843e-03       5.030370918601e+03 
       2.926522227346e-03       5.197891415646e+03 
       3.041972628545e-03       5.364210368732e+03 
       3.158312425015e-03       5.529172418952e+03 
       3.275465296538e-03       5.692641914387e+03 
       3.393362386273e-03       5.854500744787e+03 
       3.511941575581e-03       6.014648056325e+03 
       3.631146811106e-03       6.172995935280e+03 
       3.750927487357e-03       6.329469989129e+03 
       3.871237885001e-03       6.484006055167e+03 
       3.992036663108e-03       6.636551410296e+03 
       4.113286402413e-03       6.787061012473e+03 
       4.234953195938e-03       6.935496093988e+03 
       4.357006283050e-03       7.081827526438e+03 
       4.479417722957e-03       7.226030536004e+03 
       4.602162103782e-03       7.368086892200e+03 
       4.725216283514e-03       7.507981769153e+03 
       4.848559159457e-03       7.645704864318e+03 
       4.972171463027e-03       7.781251890174e+03 
       5.096035577095e-03       7.914618623707e+03 
       5.220135373297e-03       8.045807243210e+03 
       5.344456067073e-03       8.174819327033e+03 
       5.468984088379e-03       8.301659966900e+03 
       5.593706966284e-03       8.426339328780e+03 
       5.718613225869e-03       8.548862083771e+03 
       5.843692296004e-03       8.669370993189e+03 
       5.968934426788e-03       8.787616666048e+03 
       6.094330615523e-03       8.903681891614e+03 
